date,club,caller,cuer,remarks,start,end,caller,cuer,price,levels
2026-06-13,UnionSquares.jpeg,DougMcCart.webp,,Machine Shed Dance – NOT in Creston!,,,,,,
2026-03-21,Tanglefoot.jpg,LeroyConrad.jpg,,Supper at 6:00,,,,Kenny Bailey,,
2026-04-18,Tanglefoot.jpg,,,NE District Dance,06:00 PM,09:00 PM,,District callers,District cuers,
2026-05-02,Tanglefoot.jpg,LeroyConrad.jpg,,Lemon / Lime Laughter,,,,,,
2026-06-06,Tanglefoot.jpg,LeroyConrad.jpg,,Ice Cream Party,,,,,,
2026-07-10,Tanglefoot.jpg,LeroyConrad.jpg,,,,,,,,
2026-08-01,Tanglefoot.jpg,LeroyConrad.jpg,,Trivia Night,,,,,,
2026-09-05,Tanglefoot.jpg,ConnieGraham.jpg,,Pizza Night,,,,,,
2026-11-06,Tanglefoot.jpg,LeroyConrad.jpg,,,,,,,,
2026-11-21,Tanglefoot.jpg,,,,,,,Merle Hall,,
2026-12-05,Tanglefoot.jpg,LeroyConrad.jpg,,,,,,,,
2026-03-31,heartland.jpg,KenardSwift.jpg,AmySwift.jpg,,,,,,,
2026-04-14,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-04-28,heartland.jpg,JerryJunck.jpg,stairs.jpg,,,,,,,
2026-05-12,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-05-26,heartland.jpg,BarryPeck.jpg,CarlaPeck.jpg,,,,,,,
2026-06-09,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-06-23,heartland.jpg,,stairs.jpg,,,,,,,
2026-07-07,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-07-21,heartland.jpg,,,,,,,Sue Dellere,,
2026-08-04,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-08-18,heartland.jpg,hogan.jpg,AmySwift.jpg,,,,,,,
2026-09-01,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-09-29,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-10-13,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-11-10,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-12-08,heartland.jpg,weaklend.jpg,weaklend.jpg,,,,,,,
2026-03-27,gggLogo.png,DougMcCart.webp,CarlaPeck.jpg,,,,,,,
2026-04-10,gggLogo.png,hogan.jpg,AmySwift.jpg,,,,,,,
2026-04-24,gggLogo.png,manning.jpg,JCM.webp,,,,,,,
2026-05-08,gggLogo.png,brianfreed.png,CarlaPeck.jpg,,,,,,,
2026-09-11,gggLogo.png,sullivan.jpg,,,,,,,,
2026-09-25,gggLogo.png,BryanBush.webp,,,,,,,,
2026-10-23,gggLogo.png,GarySmith.jpg,,,,,,,,
2026-10-09,gggLogo.png,hogan.jpg,,,,,,,,
2026-11-13,gggLogo.png,DougMcCart.webp,,,,,,,,
2026-12-11,gggLogo.png,JimWilliams.webp,,,,,,,,
2027-01-08,gggLogo.png,,,,,,,Ken Mai,,
2027-01-22,gggLogo.png,BarryPeck.jpg,,,,,,,,
2027-02-12,gggLogo.png,DonBoyer.jpg,,,,,,,,
2027-02-26,gggLogo.png,BarryJohnson.jpg,,,,,,,,
2027-03-12,gggLogo.png,manning.jpg,,,,,,,,
2027-04-09,gggLogo.png,GarySmith.jpg,,,,,,,,
2027-04-23,gggLogo.png,sprosty.jpg,,,,,,,,
2027-05-14,gggLogo.png,JimWilliams.webp,,,,,,,,
2026-03-28,LittleDixie.jpg,Tannehille..jpg,,,,,,,,
2026-04-11,LittleDixie.jpg,manning.jpg,DougMcCart.webp,Blacklight Dance at Zion,,,,,,
2026-04-25,LittleDixie.jpg,LeroyConrad.jpg,,Swing into Spring,,,,,,
2026-05-09,LittleDixie.jpg,,,"Boots, Blooms & Moms",,,Jay Wright,,,
2026-06-05,LittleDixie.jpg,,,,,,Steve Aufdemberg,,,
2026-06-20,LittleDixie.jpg,LeroyConrad.jpg,,Salad at 6:30,06:30 PM,09:30 PM,,,,
2026-07-31,LittleDixie.jpg,LeroyConrad.jpg,,,,,,,,
2026-08-14,LittleDixie.jpg,,,,,,Dan Norby,,,
2026-08-29,LittleDixie.jpg,,,,,,Larry Dudgeon,,,
2026-09-12,LittleDixie.jpg,,,Stars & Stripes Forever,,,Travis Cook,,,
2026-09-26,LittleDixie.jpg,Tannehille..jpg,,,,,,,,
2026-10-10,LittleDixie.jpg,LeroyConrad.jpg,,Camo Dance,,,,,,
2026-11-07,LittleDixie.jpg,LeroyConrad.jpg,,Dinner at Zion,,,,and guest,,
2026-11-21,LittleDixie.jpg,LeroyConrad.jpg,,,,,,,,
2026-12-05,LittleDixie.jpg,sullivan.jpg,,Gone fishing,,,,,,
2026-12-19,LittleDixie.jpg,LeroyConrad.jpg,,Christmas Dance,,,,,,
2026-03-28,Peppy.jpeg,ConnieGraham.jpg,,,,,,,,
2026-04-07,Peppy.jpeg,,,,07:00 PM,09:00 PM,Merle Hall,,,p
2026-04-25,Peppy.jpeg,DonBoyer.jpg,,Cake Walk Dance,,,,,,
2026-05-05,Peppy.jpeg,DonBoyer.jpg,,,07:00 PM,09:00 PM,,,,p
2026-06-02,Peppy.jpeg,DonBoyer.jpg,,,07:00 PM,09:00 PM,,,,p
2026-06-27,Peppy.jpeg,DonBoyer.jpg,,,,,,,,
2026-07-07,Peppy.jpeg,LeroyConrad.jpg,,,07:00 PM,09:00 PM,,,,p
2026-07-25,Peppy.jpeg,DonBoyer.jpg,,,,,,,,
2026-08-04,Peppy.jpeg,,,,07:00 PM,09:00 PM,Larry Dudgeon,,,p
2026-08-29,Peppy.jpeg,DonBoyer.jpg,,Family & Friends,,,,,,
2026-09-01,Peppy.jpeg,DonBoyer.jpg,,,07:00 PM,09:00 PM,,,,p
2026-09-26,Peppy.jpeg,DougMcCart.webp,,,,,,,,
2026-10-06,Peppy.jpeg,DonBoyer.jpg,,,07:00 PM,09:00 PM,,,,p
