,documenting columns,,,,,club icon,geo,directions,caller photo,cuer photo,contact,cost
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,30 JULY,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURS.- FRIDAY,,31 JULY - 1 AUGUST,,No Dances,,,,,,,
,SATURDAY,,2 AUGUST,,,,,,,,,
*,Ankeny Squares,mr,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Jim Williams/Ed and Patricia Schneiders,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,,Schneiders.jpg,,
,TUESDAY,,5 AUGUST,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",,manning.png,,,
,WEDNESDAY,,6 AUGUST,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,7 AUGUST,,,,,,,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St, Davenport",Connie Graham,7-9:30,,"41.5745758,-90.5781588",HopeChurch.txt,ConnieGraham.jpg,,,
,MONDAY,,11 AUGUST   DANCE AT IOWA STATE FAIR!,Help advertise Square Dancing!,,,,,,,,
*,IA State Federation,,"State Fair Dance, Blue Ribbon Eatery on the Fairgrounds, Des Moines",Volunteer Callers,1-4:PM (fair attire),,,,,,,
,TUESDAY,,12 AUGUST,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Don & Doug Sprosty,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,sprosty.jpg,,,
,WEDNESDAY,,13 AUGUST,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,FRIDAY,,15 AUGUST,,,,,,,,,
QC,Wheel N Steppers,MPR,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Gary Smith,7 - 9:30 Sunday Dance,,"41.5550615,-90.5455025",EdwardsChurch.txt,GarySmith.jpg,,,
,SATURDAY,,16 AUGUST,,,,,,,,,
NE,Stardusters,MPR,"Smith's Dancing Meadows, 1503 190th St., Waverly",Gary Smith,7:00 - 9:30,,,,GarySmith.jpg,,,
,SUNDAY,,17 AUGUST,,,,,,,,,
QC,Morrison Grand Sq.,MP,"Odell Library ComRoom,307 S Madison,Morrison,IL  ",Dan Sahlstrom,2:00 - 4:30,,,,,,,
,MONDAY,,18 AUGUST,,No Dances,,,,,,,
,TUESDAY,,19 AUGUST,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,20 AUGUST,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr., E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,21 AUGUST,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
QC,Solo Steppers,MPR,"Community of Hope Church, 415 W 53rd St., Davenport",Don & Doug Sprosty/Doug,7:00 - 9:30,,"41.5745758,-90.5781588",HopeChurch.txt,sprosty.jpg,,,
,FRIDAY,,22 AUGUST,,,,,,,,,
EC,Rapid Eights,MP,"Toddville Legion Hall, 3275 Otter Rd., Toddville",Gary Smith,7-9:30 Sunflower Dance,,"42.10038,-91.71663",toddville.txt,GarySmith.jpg,,,
,SATURDAY,,23 AUGUST,,,,,,,,,
*,Ankeny Squares,MPR,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Mike Hogan \ Mike Hogan,7-9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,hogan.jpg,hogan.jpg,,
,SUN-MONDAY,,24-25 AUGUST,,No Dances,,,,,,,
,TUESDAY,,26 AUGUST,,,,,,,,,
SE,Circle Sq B Promen.,MP,"IOOF Hall, Wever",Tom Manning,7:00 - 9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,27 AUGUST,,,,,,,,,
QC ,QC Cloggers,Clog,"Revive & Renew Café, 4360 Kennedy Dr. ,E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
,THURSDAY,,28 AUGUST,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
,TUESDAY,,2-SEPTEMBER,,,,,,,,,
SE,Circle Sq B Promen.,,"IOOF Hall, Wever",Tom Manning,7-9:30,circlesquareb_logo.png,"40.711096, -91.230198",Wever.txt,manning.png,,,
,WEDNESDAY,,3-SEPTEMBER,,,,,,,,,
QC,QC Cloggers,,"Revive & Renew Café, 4360 Kennedy Dr. ,E Moline",Mary Ann Robinson,4:00 - 6:00,,"41.486913,-90.4562279",EastMoline.txt,robinson.jpg,,,
,THURSDAY,,4-SEPTEMBER,,,,,,,,,
QC,Acey Duceys,A2,"Edwards Ch of Christ, 3420 Jersey Ridge Rd, Davenport",Tom Manning,6:30 - 9:00,,"41.5550615,-90.5455025",EdwardsChurch.txt,manning.png,,,
,FRIDAY,,5-SEPTEMBER,,,,,,,,,
NE,Circulators,MP,"Cedar Falls Rec Center, 110 E 13th St. Cedar Falls",TBA,2:00 - 4:30,,"42.5267404,-92.4443272",CedarFalls.txt,,,,
SE,Dudes 'n' Dolls,MP,"1st Presbyterian Church, 228 W 4th St., Ottumwa",Gary Smith,7-9:30,,"41.0209343,-92.4136258",Otumwa.txt,GarySmith.jpg,,,
,FRIDAY,,12 SEP,,,,,,,,,
*,GGG,MPR,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Barry Peck / Carla Peck,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,BarryPeck.jpg,CarlaPeck.jpg,,Guests $10
,FRIDAY,,26 Sep,,,,,,,,,
*,GGG,MPR,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Don & Doug Sprosty,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,sprosty.jpg,,,Guests $10
,SATURDAY,,27 september,,,,,,,,,
*,Ankeny Squares,ML,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Gary Smith / JCM lines,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,GarySmith.jpg,JCM.jpg,,
,,,,,,,,,,,,
,FRIDAY,,10 oct,,,,,,,,,
*,GGG,mr,"Gilbert Elementary School Gym, 109 Rothmoor Dr., Gilbert IA",Bryan Bush / Ed & Pat Schneiders,7:00 - 9:30,ggg_logo.png,"42.105461,-93.64567",gilbert.txt,BryanBush.jpg,Schneiders.jpg,,Guests $10
,saT,,11 oct,,,,,,,,,
*,Ankeny Squares,mr,"St. Paul Lutheran Ch, 1100 SE Sharon, Ankeny",Kennard Swift / Carla Peck,7:00 - 9:30,ankeny_logo.jpg,"41.72,-93.596",ankeny.txt,KennardSwift.jpg,CarlaPeck.jpg,,
,SATURDAY,,18 oct,,,,,,,,,
*,ISCCA Dance,M,"ISU Extension Ctr, 210 N Iowa St, Knoxville",Many callers,,,"41.320195, -93.106079",Knoxville.txt,,,,
,FRIDAY,,24 oct,,,,,,,,,
